quarter,region,house_type,avg_sqm_price_real,n_transactions,cumulative_max,drawdown_pct
2016Q3,Jutland,Summerhouse,16695.0,703,24304.4,-31.31
2016Q4,Jutland,Summerhouse,16773.6,381,24304.4,-30.99
2017Q3,Jutland,Summerhouse,16451.4,847,24304.4,-32.31
2017Q4,Jutland,Summerhouse,16763.3,756,24304.4,-31.03
2018Q1,Jutland,Summerhouse,16683.6,651,24304.4,-31.36
2018Q2,Jutland,Summerhouse,17214.6,1039,24304.4,-29.17
2018Q3,Jutland,Summerhouse,16773.4,963,24304.4,-30.99
2018Q4,Jutland,Summerhouse,16974.6,709,24304.4,-30.16
2019Q1,Jutland,Summerhouse,16952.3,778,24304.4,-30.25
2019Q2,Jutland,Summerhouse,19503.5,1391,24304.4,-19.75
2019Q3,Jutland,Summerhouse,18064.7,1277,24304.4,-25.67
2019Q4,Jutland,Summerhouse,18076.3,927,24304.4,-25.63
2020Q1,Jutland,Summerhouse,18214.5,1071,24304.4,-25.06
2020Q2,Jutland,Summerhouse,17760.7,2376,24304.4,-26.92
2020Q3,Jutland,Summerhouse,18396.8,1964,24304.4,-24.31
2020Q4,Jutland,Summerhouse,18570.2,1671,24304.4,-23.59
2021Q1,Jutland,Summerhouse,18596.8,2516,24304.4,-23.48
2021Q2,Jutland,Summerhouse,20516.7,2164,24304.4,-15.58
2021Q3,Jutland,Summerhouse,20802.1,1323,24304.4,-14.41
2021Q4,Jutland,Summerhouse,21145.9,1006,24304.4,-13.0
2022Q1,Jutland,Summerhouse,19855.0,1111,24304.4,-18.31
2022Q2,Jutland,Summerhouse,20274.5,1242,24304.4,-16.58
2022Q3,Jutland,Summerhouse,20166.0,978,24304.4,-17.03
2022Q4,Jutland,Summerhouse,20139.8,641,24304.4,-17.14
2023Q1,Jutland,Summerhouse,20059.0,824,24304.4,-17.47
2023Q2,Jutland,Summerhouse,20231.6,1244,24304.4,-16.76
2023Q3,Jutland,Summerhouse,20040.6,936,24304.4,-17.54
2023Q4,Jutland,Summerhouse,20387.4,989,24304.4,-16.12
2024Q1,Jutland,Summerhouse,20176.8,921,24304.4,-16.98
2024Q2,Jutland,Summerhouse,20830.4,1381,24304.4,-14.29
2024Q3,Jutland,Summerhouse,20639.8,1171,24304.4,-15.08
2024Q4,Jutland,Summerhouse,18526.7,77,24304.4,-23.77
1992Q1,Jutland,Townhouse,14389.2,117,14389.2,0.0
1992Q2,Jutland,Townhouse,11592.5,148,14389.2,-19.44
1992Q3,Jutland,Townhouse,9727.7,114,14389.2,-32.4
1992Q4,Jutland,Townhouse,10048.6,76,14389.2,-30.17
1993Q1,Jutland,Townhouse,19946.1,87,19946.1,0.0
1993Q2,Jutland,Townhouse,10248.8,94,19946.1,-48.62
1993Q3,Jutland,Townhouse,12089.4,129,19946.1,-39.39
1993Q4,Jutland,Townhouse,10277.2,127,19946.1,-48.48
1994Q1,Jutland,Townhouse,9825.3,131,19946.1,-50.74
1994Q2,Jutland,Townhouse,11106.0,165,19946.1,-44.32
1994Q3,Jutland,Townhouse,10948.0,130,19946.1,-45.11
1994Q4,Jutland,Townhouse,11069.5,136,19946.1,-44.5
1995Q1,Jutland,Townhouse,10788.7,178,19946.1,-45.91
1995Q2,Jutland,Townhouse,10710.1,192,19946.1,-46.3
1995Q3,Jutland,Townhouse,15102.9,197,19946.1,-24.28
1995Q4,Jutland,Townhouse,11990.0,167,19946.1,-39.89
1996Q1,Jutland,Townhouse,12667.4,145,19946.1,-36.49
1996Q2,Jutland,Townhouse,11175.7,197,19946.1,-43.97
1996Q3,Jutland,Townhouse,12137.7,195,19946.1,-39.15
1996Q4,Jutland,Townhouse,11957.0,190,19946.1,-40.05
1997Q1,Jutland,Townhouse,11591.8,175,19946.1,-41.88
1997Q2,Jutland,Townhouse,13088.3,224,19946.1,-34.38
1997Q3,Jutland,Townhouse,12709.0,193,19946.1,-36.28
1997Q4,Jutland,Townhouse,13307.0,175,19946.1,-33.29
1998Q1,Jutland,Townhouse,14683.8,236,19946.1,-26.38
1998Q2,Jutland,Townhouse,14515.0,205,19946.1,-27.23
1998Q3,Jutland,Townhouse,12156.7,174,19946.1,-39.05
1998Q4,Jutland,Townhouse,17177.7,192,19946.1,-13.88
1999Q1,Jutland,Townhouse,14577.8,198,19946.1,-26.91
1999Q2,Jutland,Townhouse,15060.9,214,19946.1,-24.49
1999Q3,Jutland,Townhouse,16344.4,236,19946.1,-18.06
1999Q4,Jutland,Townhouse,13516.2,164,19946.1,-32.24
2000Q1,Jutland,Townhouse,14260.5,191,19946.1,-28.5
2000Q2,Jutland,Townhouse,14213.0,200,19946.1,-28.74
2000Q3,Jutland,Townhouse,13861.3,234,19946.1,-30.51
2000Q4,Jutland,Townhouse,13829.1,202,19946.1,-30.67
2001Q1,Jutland,Townhouse,12883.2,216,19946.1,-35.41
2001Q2,Jutland,Townhouse,14064.5,276,19946.1,-29.49
2001Q3,Jutland,Townhouse,13804.6,197,19946.1,-30.79
2001Q4,Jutland,Townhouse,19558.8,265,19946.1,-1.94
2002Q1,Jutland,Townhouse,17574.6,238,19946.1,-11.89
2002Q2,Jutland,Townhouse,17591.4,288,19946.1,-11.81
2002Q3,Jutland,Townhouse,16636.4,238,19946.1,-16.59
2002Q4,Jutland,Townhouse,14577.3,213,19946.1,-26.92
2003Q1,Jutland,Townhouse,13166.4,246,19946.1,-33.99
2003Q2,Jutland,Townhouse,16910.4,296,19946.1,-15.22
2003Q3,Jutland,Townhouse,15296.2,238,19946.1,-23.31
2003Q4,Jutland,Townhouse,32009.5,334,32009.5,0.0
2004Q1,Jutland,Townhouse,14598.4,286,32009.5,-54.39
2004Q2,Jutland,Townhouse,15647.5,281,32009.5,-51.12
2004Q3,Jutland,Townhouse,20275.6,215,32009.5,-36.66
2004Q4,Jutland,Townhouse,15042.3,244,32009.5,-53.01
2005Q1,Jutland,Townhouse,30983.8,442,32009.5,-3.2
2005Q2,Jutland,Townhouse,16209.1,423,32009.5,-49.36
2005Q3,Jutland,Townhouse,17974.6,365,32009.5,-43.85
2005Q4,Jutland,Townhouse,18829.0,364,32009.5,-41.18
2006Q1,Jutland,Townhouse,18072.3,372,32009.5,-43.54
2006Q2,Jutland,Townhouse,19488.6,403,32009.5,-39.12
2006Q3,Jutland,Townhouse,18725.5,300,32009.5,-41.5
2006Q4,Jutland,Townhouse,27337.1,313,32009.5,-14.6
2007Q1,Jutland,Townhouse,24021.4,387,32009.5,-24.96
2007Q2,Jutland,Townhouse,26259.9,508,32009.5,-17.96
2007Q3,Jutland,Townhouse,20274.0,404,32009.5,-36.66
2007Q4,Jutland,Townhouse,18967.8,349,32009.5,-40.74
2008Q1,Jutland,Townhouse,21368.8,380,32009.5,-33.24
2008Q2,Jutland,Townhouse,19655.8,404,32009.5,-38.59
2008Q3,Jutland,Townhouse,19445.4,290,32009.5,-39.25
2008Q4,Jutland,Townhouse,16656.2,163,32009.5,-47.96
2009Q1,Jutland,Townhouse,19641.3,266,32009.5,-38.64
2009Q2,Jutland,Townhouse,17035.5,300,32009.5,-46.78
2009Q3,Jutland,Townhouse,19130.0,284,32009.5,-40.24
2009Q4,Jutland,Townhouse,18165.6,317,32009.5,-43.25
2010Q1,Jutland,Townhouse,18037.9,346,32009.5,-43.65
2010Q2,Jutland,Townhouse,17362.6,347,32009.5,-45.76
2010Q3,Jutland,Townhouse,22121.0,410,32009.5,-30.89
2010Q4,Jutland,Townhouse,22698.5,483,32009.5,-29.09
2011Q1,Jutland,Townhouse,17141.4,338,32009.5,-46.45
2011Q2,Jutland,Townhouse,19527.9,407,32009.5,-38.99
2011Q3,Jutland,Townhouse,23636.5,316,32009.5,-26.16
2011Q4,Jutland,Townhouse,16039.2,305,32009.5,-49.89
2012Q1,Jutland,Townhouse,18141.2,308,32009.5,-43.33
2012Q2,Jutland,Townhouse,17724.9,340,32009.5,-44.63
2012Q3,Jutland,Townhouse,20242.8,344,32009.5,-36.76
2012Q4,Jutland,Townhouse,17509.9,304,32009.5,-45.3
2013Q1,Jutland,Townhouse,16672.8,348,32009.5,-47.91
2013Q2,Jutland,Townhouse,24916.3,485,32009.5,-22.16
2013Q3,Jutland,Townhouse,16771.3,319,32009.5,-47.61
2013Q4,Jutland,Townhouse,17104.2,301,32009.5,-46.57
2014Q1,Jutland,Townhouse,17398.7,355,32009.5,-45.65
2014Q2,Jutland,Townhouse,17803.4,423,32009.5,-44.38
2014Q3,Jutland,Townhouse,17199.8,424,32009.5,-46.27
2014Q4,Jutland,Townhouse,17451.9,407,32009.5,-45.48
2015Q1,Jutland,Townhouse,18806.7,494,32009.5,-41.25
2015Q2,Jutland,Townhouse,20659.2,631,32009.5,-35.46
2015Q3,Jutland,Townhouse,21295.3,557,32009.5,-33.47
2015Q4,Jutland,Townhouse,21319.2,515,32009.5,-33.4
2016Q1,Jutland,Townhouse,23191.9,521,32009.5,-27.55
2016Q2,Jutland,Townhouse,20980.0,664,32009.5,-34.46
2016Q3,Jutland,Townhouse,19546.3,567,32009.5,-38.94
2016Q4,Jutland,Townhouse,19171.9,397,32009.5,-40.11
2017Q3,Jutland,Townhouse,23256.2,713,32009.5,-27.35
2017Q4,Jutland,Townhouse,20685.7,746,32009.5,-35.38
2018Q1,Jutland,Townhouse,19348.6,584,32009.5,-39.55
