zip_code,city,region,n_years,price_level,cagr_real,volatility,max_drawdown,liquidity_log,growth_recent,pca1,pca2,tsne1,tsne2,cluster,cluster_label
4420,Regstrup,Zealand,33,14982.7,0.0217,0.1903,-57.6924,3.3037,0.2149,-0.0071,1.3168,3.9364,-17.5156,1,Precio bajo / plano / volatil
4440,Mørkøv,Zealand,33,16563.2,0.0181,0.4799,-69.029,3.6117,-0.1458,-1.4328,0.2573,-23.0039,-4.4509,1,Precio bajo / plano / volatil
4450,Jyderup,Zealand,33,13656.8,0.0156,0.2966,-58.4557,3.8417,-0.2011,-0.7987,-0.599,-10.9256,1.248,1,Precio bajo / plano / volatil
4470,Svebølle,Zealand,33,9860.2,0.0106,0.4185,-60.6529,3.28,-0.0071,-1.5583,0.4228,-15.4103,-7.5951,1,Precio bajo / plano / volatil
4480,Store Fuglede,Zealand,33,18013.1,0.0264,0.1808,-60.3134,3.4072,0.1887,0.2488,1.3817,3.5371,-16.5882,0,Precio alto / dinamico / estable
4490,Jerslev Sjælland,Zealand,33,10566.8,0.0217,0.2514,-60.5166,3.0387,0.0274,-0.7448,0.8857,-3.8106,-14.385,1,Precio bajo / plano / volatil
4500,Nykøbing Sj,Zealand,33,22008.8,0.0235,0.1443,-50.4475,5.3074,0.0415,1.3252,-0.5594,10.1441,10.0049,0,Precio alto / dinamico / estable
4520,Svinninge,Zealand,33,12878.4,0.015,0.3187,-61.2184,3.5571,0.0375,-0.8826,0.4756,-11.8774,-8.4357,1,Precio bajo / plano / volatil
4532,Gislinge,Zealand,33,15381.0,0.0323,0.4881,-69.7711,2.8954,-0.1224,-1.2284,1.3369,-22.46,-7.2266,1,Precio bajo / plano / volatil
4534,Hørve,Zealand,33,15538.5,0.0181,0.3078,-68.59,3.4359,-0.0132,-0.981,0.5823,-12.9331,-10.0173,1,Precio bajo / plano / volatil
4540,Fårevejle,Zealand,33,23288.1,0.0299,0.1203,-32.1858,4.3008,-0.0775,1.8692,-0.3937,22.3389,4.7525,0,Precio alto / dinamico / estable
4550,Asnæs,Zealand,33,17690.0,0.0233,0.235,-67.0086,3.9547,0.0505,-0.1947,0.5926,-0.2806,-11.445,1,Precio bajo / plano / volatil
4560,Vig,Zealand,33,20424.4,0.0304,0.1406,-42.8494,4.2971,0.2064,1.5945,0.7999,18.399,-1.7467,0,Precio alto / dinamico / estable
4571,Grevinge,Zealand,33,13920.0,0.0217,0.1642,-47.78,3.6174,-0.0717,0.2029,-0.0852,-3.7211,-3.9232,0,Precio alto / dinamico / estable
4573,Højby,Zealand,33,23935.9,0.0322,0.1593,-41.3213,4.3828,0.3905,2.0488,1.5205,17.4247,-3.6732,0,Precio alto / dinamico / estable
4581,Rørvig,Zealand,33,31291.1,0.0443,0.2227,-41.4246,3.863,0.2314,2.2647,1.7937,20.9669,-4.5783,0,Precio alto / dinamico / estable
4583,Sjællands Odde,Zealand,33,23586.3,0.0304,0.1241,-38.6244,4.0729,0.1405,1.7872,0.6429,20.6211,-1.7947,0,Precio alto / dinamico / estable
4591,Føllenslev,Zealand,33,16716.8,0.023,0.1733,-49.5444,3.2891,0.4444,0.6807,2.091,10.4541,-12.6474,0,Precio alto / dinamico / estable
4593,Eskebjerg,Zealand,33,11995.5,0.013,0.3004,-62.2549,3.4882,0.2522,-0.8064,1.1995,-9.5755,-16.1307,1,Precio bajo / plano / volatil
4600,Køge,Zealand,33,28635.9,0.0178,0.1356,-38.9191,5.4567,0.0379,1.9083,-0.9888,14.5024,11.591,0,Precio alto / dinamico / estable
4621,Gadstrup,Zealand,33,23116.0,0.0295,0.1421,-45.7232,3.2731,-0.0862,0.914,0.3864,20.6483,-12.0567,0,Precio alto / dinamico / estable
4622,Havdrup,Zealand,33,23495.0,0.0296,0.5078,-66.8238,3.64,0.0653,-0.4402,1.5175,0.0285,-9.2335,1,Precio bajo / plano / volatil
4623,Lille Skensved,Zealand,33,23006.5,0.028,0.2419,-51.4231,3.6858,-0.0356,0.601,0.477,17.8781,-12.539,0,Precio alto / dinamico / estable
4632,Bjæverskov,Zealand,33,20474.8,0.0248,0.1873,-56.5485,3.679,0.1881,0.5235,1.1354,4.3651,-16.1238,0,Precio alto / dinamico / estable
4640,Faxe,Zealand,33,12860.8,0.011,0.3239,-57.0522,3.8411,0.0753,-0.756,0.2397,-10.6705,-6.9707,1,Precio bajo / plano / volatil
4652,Hårlev,Zealand,33,16236.3,0.0229,0.3275,-55.441,3.7548,-0.1839,-0.38,-0.1763,-10.1528,2.2547,1,Precio bajo / plano / volatil
4653,Karise,Zealand,33,18808.0,0.029,0.243,-50.4372,3.3798,0.0708,0.4707,1.0414,0.2254,-16.2664,0,Precio alto / dinamico / estable
4654,Faxe Ladeplads,Zealand,33,16449.5,0.0265,0.2436,-59.498,3.6191,0.0248,-0.0236,0.7322,-0.7488,-13.4567,1,Precio bajo / plano / volatil
4660,Store Heddinge,Zealand,33,16659.5,0.007,0.2908,-54.6272,3.9634,-0.0115,-0.6026,-0.349,-6.2733,0.8289,1,Precio bajo / plano / volatil
4671,Strøby,Zealand,33,24218.0,0.0324,0.1509,-47.1026,3.4572,-0.0582,1.0971,0.5256,20.758,-11.4632,0,Precio alto / dinamico / estable
4673,Rødvig Stevns,Zealand,33,16913.9,0.0242,0.2224,-56.2234,3.4901,0.2578,0.2637,1.4983,4.6485,-16.8345,0,Precio alto / dinamico / estable
4681,Herfølge,Zealand,33,23216.8,0.0243,0.1709,-42.9051,3.551,0.0837,1.0208,0.6385,19.9881,-7.8611,0,Precio alto / dinamico / estable
4682,Tureby,Zealand,33,17043.9,0.0192,0.3437,-64.8852,2.7745,-0.2228,-1.2624,0.2705,-19.777,-2.0782,1,Precio bajo / plano / volatil
4683,Rønnede,Zealand,33,14683.0,0.007,0.1606,-55.1001,3.3536,-0.1588,-0.7677,-0.715,-9.9984,-2.4392,1,Precio bajo / plano / volatil
