zip_code,city,region,n_years,growth_recent,liquidity_log,price_level,max_drawdown,R,F,M,RFM_score,RFM_code,rfm_segmento
5672,Broby,Fyn & islands,33,-0.1226,3.8087,9334.6,-55.2852,2,3,1,6,231,Intermedio
5683,Haarby,Fyn & islands,33,-0.5391,3.7591,10941.9,-62.168,1,3,1,5,131,Intermedio
5690,Tommerup,Fyn & islands,33,0.028,4.1158,11895.8,-65.2083,4,3,2,9,432,"Emergente (momentum, ticket medio-bajo)"
5700,Svendborg,Fyn & islands,33,-0.0312,5.7024,19883.2,-49.9926,3,5,4,12,354,Intermedio
5750,Ringe,Fyn & islands,33,-0.0796,4.5008,13010.3,-61.1442,2,4,2,8,242,"Value liquido (barato, accesible)"
5762,Vester Skerninge,Fyn & islands,33,-0.2546,3.6085,14215.5,-52.6246,1,2,3,6,123,"Periferico dormido (iliquido, frio)"
5771,Stenstrup,Fyn & islands,33,-0.4509,3.4686,13724.0,-78.8598,1,2,3,6,123,"Periferico dormido (iliquido, frio)"
5772,Kværndrup,Fyn & islands,33,0.0685,3.03,10381.9,-54.0854,4,1,1,6,411,"Emergente (momentum, ticket medio-bajo)"
5792,Ãrslev,Fyn & islands,33,0.1983,4.1276,13161.8,-60.9814,5,3,2,10,532,"Emergente (momentum, ticket medio-bajo)"
5800,Nyborg,Fyn & islands,33,-0.0779,4.9871,17873.0,-82.3142,2,5,4,11,254,"Premium frio (caro, sin momentum)"
5853,Arbæk,Fyn & islands,33,0.1468,3.4974,10786.3,-93.339,5,2,1,8,521,"Emergente (momentum, ticket medio-bajo)"
5856,Ryslinge,Fyn & islands,33,-0.117,2.9071,9139.6,-59.1367,2,1,1,4,211,"Periferico dormido (iliquido, frio)"
