quarter,year,region,avg_sqm_price_real,n_transactions,yield_mortgage_bonds_pct,base_year_price,regional_index
1992Q1,1992,Jutland,13054.2,1844,10.1,13051.493840750445,100.02
1992Q2,1992,Jutland,13505.3,2063,10.1,13051.493840750445,103.48
1992Q3,1992,Jutland,11430.8,1764,10.1,13051.493840750445,87.58
1992Q4,1992,Jutland,14215.7,1572,10.1,13051.493840750445,108.92
1993Q1,1993,Jutland,17187.1,1663,8.2,13051.493840750445,131.69
1993Q2,1993,Jutland,17012.0,2074,8.2,13051.493840750445,130.35
1993Q3,1993,Jutland,11451.9,2296,8.2,13051.493840750445,87.74
1993Q4,1993,Jutland,12417.8,2086,8.2,13051.493840750445,95.15
1994Q1,1994,Jutland,11757.9,2209,8.4,13051.493840750445,90.09
1994Q2,1994,Jutland,13390.9,2887,8.4,13051.493840750445,102.6
1994Q3,1994,Jutland,11694.1,2136,8.4,13051.493840750445,89.6
1994Q4,1994,Jutland,16872.0,2255,8.4,13051.493840750445,129.27
1995Q1,1995,Jutland,12292.7,2468,9.1,13051.493840750445,94.19
1995Q2,1995,Jutland,11194.2,2819,9.1,13051.493840750445,85.77
1995Q3,1995,Jutland,11274.4,2596,9.1,13051.493840750445,86.38
1995Q4,1995,Jutland,12620.6,2454,9.1,13051.493840750445,96.7
1996Q1,1996,Jutland,15665.8,2527,7.8,13051.493840750445,120.03
1996Q2,1996,Jutland,12254.2,3047,7.8,13051.493840750445,93.89
1996Q3,1996,Jutland,11406.0,2766,7.8,13051.493840750445,87.39
1996Q4,1996,Jutland,11810.4,2654,7.8,13051.493840750445,90.49
1997Q1,1997,Jutland,12154.7,2761,7.2,13051.493840750445,93.13
1997Q2,1997,Jutland,13296.7,3420,7.2,13051.493840750445,101.88
1997Q3,1997,Jutland,16950.1,3352,7.2,13051.493840750445,129.87
1997Q4,1997,Jutland,14701.5,2811,7.2,13051.493840750445,112.64
1998Q1,1998,Jutland,13042.3,3157,6.3,13051.493840750445,99.93
1998Q2,1998,Jutland,13842.5,3728,6.3,13051.493840750445,106.06
1998Q3,1998,Jutland,12892.1,2906,6.3,13051.493840750445,98.78
1998Q4,1998,Jutland,19979.3,2882,6.3,13051.493840750445,153.08
